Date of death,# killed
2015-07-12,34
2015-07-13,44
2015-07-14,6
2015-07-15,33
2015-07-16,56
2015-07-17,18
2015-07-18,22
2015-07-19,30
2015-07-20,42
2015-07-21,31
2015-07-22,28
2015-07-23,49
2015-07-24,32
2015-07-25,17
2015-07-26,18
2015-07-27,21
2015-07-28,26
2015-07-29,52
2015-07-30,40
2015-07-31,30
2015-08-01,23
2015-08-02,14
2015-08-03,65
2015-08-04,8
2015-08-05,18
2015-08-06,4
2015-08-07,29
2015-08-08,32
2015-08-09,22
2015-08-10,37
2015-08-11,34
2015-08-12,61
2015-08-13,45
2015-08-14,12
2015-08-15,63
2015-08-16,154
2015-08-17,26
2015-08-18,20
2015-08-19,30
2015-08-20,29
2015-08-21,28
2015-08-22,50
2015-08-23,67
2015-08-24,67
2015-08-25,10
2015-08-26,22
2015-08-27,2
2015-08-28,12
2015-08-29,34
2015-08-30,25
2015-08-31,15
2015-09-01,15
2015-09-02,25
2015-09-03,16
2015-09-04,9
2015-09-05,13
2015-09-06,13
2015-09-07,7
2015-09-08,10
2015-09-09,2
2015-09-10,6
2015-09-11,13
2015-09-12,12
2015-09-13,18
2015-09-14,6
2015-09-15,6
2015-09-16,5
2015-09-17,23
2015-09-18,27
2015-09-19,27
2015-09-20,19
2015-09-21,52
2015-09-22,28
2015-09-23,10
2015-09-25,15
2015-09-26,24
2015-09-27,21
2015-09-28,38
2015-09-29,11
2015-09-30,50
2015-10-01,8
2015-10-02,16
2015-10-03,12
2015-10-04,18
2015-10-05,24
2015-10-06,44
2015-10-07,28
2015-10-08,25
2015-10-09,30
2015-10-10,16
2015-10-11,21
2015-10-12,9
2015-10-13,43
2015-10-14,26
2015-10-15,96
2015-10-16,44
2015-10-17,20
2015-10-18,20
2015-10-19,42
2015-10-20,35
2015-10-21,31
2015-10-22,22
2015-10-23,45
2015-10-24,24
2015-10-25,17
2015-10-26,24
2015-10-27,52
2015-10-28,32
2015-10-29,9
2015-10-30,148
2015-10-31,50
2015-11-01,19
2015-11-02,44
2015-11-03,53
2015-11-04,26
2015-11-05,70
2015-11-06,17
2015-11-07,42
2015-11-08,34
2015-11-09,23
2015-11-10,48
2015-11-11,20
2015-11-12,32
2015-11-13,19
2015-11-14,31
2015-11-15,22
2015-11-16,13
2015-11-17,26
2015-11-18,20
2015-11-19,51
2015-11-20,75
2015-11-21,55
2015-11-22,25
2015-11-23,12
2015-11-24,26
2015-11-25,23
2015-11-26,16
2015-11-27,34
2015-11-28,50
2015-11-29,63
2015-11-30,32
2015-12-01,23
2015-12-02,30
2015-12-03,27
2015-12-04,84
2015-12-05,29
2015-12-06,34
2015-12-07,32
2015-12-08,34
2015-12-09,45
2015-12-10,28
2015-12-11,16
2015-12-12,78
2015-12-13,90
2015-12-14,38
2015-12-15,65
2015-12-16,14
2015-12-17,41
2015-12-18,37
2015-12-19,8
2015-12-20,74
2015-12-21,38
2015-12-22,66
2015-12-23,35
2015-12-24,51
2015-12-25,42
2015-12-26,41
2015-12-27,23
2015-12-28,42
2015-12-29,12
2015-12-30,29
2015-12-31,8
2016-01-01,14
2016-01-02,11
2016-01-03,16
2016-01-04,4
2016-01-05,26
2016-01-06,54
2016-01-07,13
2016-01-08,13
2016-01-09,94
2016-01-10,23
2016-01-11,39
2016-01-12,94
2016-01-13,31
2016-01-14,19
2016-01-15,35
2016-01-16,50
2016-01-17,20
2016-01-18,19
2016-01-19,22
2016-01-20,38
2016-01-21,48
2016-01-22,46
2016-01-23,46
2016-01-24,33
2016-01-25,40
2016-01-26,28
2016-01-27,51
2016-01-28,61
2016-01-29,52
2016-01-30,28
2016-01-31,18
2016-02-01,30
2016-02-02,32
2016-02-03,34
2016-02-04,32
2016-02-05,22
2016-02-06,13
2016-02-07,21
2016-02-08,26
2016-02-09,42
2016-02-10,28
2016-02-11,19
2016-02-12,32
2016-02-13,28
2016-02-14,24
2016-02-15,58
2016-02-16,51
2016-02-17,25
2016-02-18,15
2016-02-19,43
2016-02-20,22
2016-02-21,19
2016-02-22,16
2016-02-23,17
2016-02-24,33
2016-02-25,14
2016-02-26,48
2016-02-27,37
2016-02-28,13
2016-02-29,17
2016-03-01,15
2016-03-02,15
2016-03-03,7
2016-03-04,19
2016-03-05,9
2016-03-06,14
2016-03-07,42
2016-03-08,13
2016-03-09,11
2016-03-10,14
2016-03-11,9
2016-03-12,23
2016-03-13,7
2016-03-14,9
2016-03-15,3
2016-03-16,5
2016-03-17,10
2016-03-18,20
2016-03-19,7
2016-03-20,14
2016-03-21,4
2016-03-22,5
2016-03-23,37
2016-03-24,6
2016-03-25,11
2016-03-26,15
2016-03-27,24
2016-03-28,5
2016-03-29,15
2016-03-30,11
2016-03-31,42
2016-04-01,8
2016-04-02,17
2016-04-03,18
2016-04-04,4
2016-04-05,31
2016-04-06,12
2016-04-07,14
2016-04-08,10
2016-04-09,26
2016-04-10,25
2016-04-11,20
2016-04-12,9
2016-04-13,6
2016-04-14,16
2016-04-15,9
2016-04-16,23
2016-04-17,18
2016-04-18,26
2016-04-19,98
2016-04-20,16
2016-04-21,16
2016-04-22,19
2016-04-23,39
2016-04-24,36
2016-04-25,24
2016-04-26,25
2016-04-27,43
2016-04-28,30
2016-04-29,11
2016-04-30,50
2016-05-01,24
2016-05-02,27
2016-05-03,33
2016-05-04,8
2016-05-05,35
2016-05-06,5
2016-05-07,25
2016-05-08,18
2016-05-09,19
2016-05-10,14
2016-05-11,24
2016-05-12,9
2016-05-13,19
2016-05-14,20
2016-05-15,11
2016-05-16,15
2016-05-17,32
2016-05-18,31
2016-05-19,33
2016-05-20,15
2016-05-21,38
2016-05-22,20
2016-05-23,15
2016-05-24,5
2016-05-25,3
2016-05-26,3
2016-05-27,7
2016-05-28,2
2016-05-29,41
2016-05-30,67
2016-05-31,21
2016-06-01,62
2016-06-02,59
2016-06-03,69
2016-06-04,38
2016-06-05,66
2016-06-06,53
2016-06-07,18
2016-06-08,32
2016-06-09,25
2016-06-10,25
2016-06-11,41
2016-06-12,53
2016-06-13,18
2016-06-14,28
2016-06-15,29
2016-06-16,15
2016-06-17,36
2016-06-18,47
2016-06-19,32
2016-06-20,33
2016-06-21,61
2016-06-22,34
2016-06-23,24
2016-06-24,25
2016-06-25,67
2016-06-26,23
2016-06-27,15
2016-06-28,42
2016-06-29,29
2016-06-30,35
2016-07-01,36
2016-07-02,76
2016-07-03,19
2016-07-04,12
2016-07-05,10
2016-07-06,15
2016-07-07,3
2016-07-08,94
2016-07-09,40
2016-07-10,13
2016-07-11,42
2016-07-12,26
2016-07-13,72
2016-07-14,55
2016-07-15,49
2016-07-16,60
2016-07-17,30
2016-07-18,52
2016-07-19,110
2016-07-20,36
